ant 蚂蚁 
queen_ant 蚁后 
male_ant 雄蚁 
termite 蚁 
white_ant 白蚁 
worker_ant 工蚁 
bee_honeybees 蜜蜂 
bumble_bee 大黄蜂 
drone 雄蜂 
queen_bee 蜂王 
wasp 黄蜂, 胡蜂 
beetle 甲虫, 金龟子 
Japanese_beetle 日本金龟子 
fly 苍蝇 
horsefly_gadfly 厩蝇,牛虻 
flea 跳蚤 
silverfish 蠹虫 
louse_lice 虱子, 白虱 
spider 蜘蛛 
mosquito 蚊 
anopheles 按蚊,疟蚊 
wiggler 孑孓 
ladybird 瓢虫 
glowworm_firefly 萤火虫 
cicada 蝉 
dragonfly 蜻蜓 
cricket 蟋蟀 
locust 蝗虫 
grasshopper 蚱蜢 
praying_mantis 螳螂 
whirligig豉甲 
white_ant 白蚁
white_fly 粉虱
worker_bee工蜂 
water_strider 水黾
scales 蚧
stinkbug 蝽
silk_worm 蚕
silkworm_moth 蚕蛾
silverfish 衣鱼
springtails 跳虫
swallowtail 凤蝶 
stag_beetle 锹甲虫  
small_white(butterfly) 菜粉蝶
moth 蛾
maggot 蛆  
midge 摇蚊
mantis 螳螂 
miller 夜蛾
mayfly 蜉蝣
mealybug 粉蚧
mosquitoes 蚊子
mole_cricket 蝼蛄 
Mediterranean_fruit_fly 地中海实蝇
louse 虱子
locust 稻蝗   
looper 尺蛾 
locust 蝗虫
lacewing 草蛉
ladybird 瓢虫
lace_bug 网蝽
ladybird 飘虫 
longicorn 天牛
leafhopper 叶蝉
leaf_miner 潜叶虫
long-legged fly 长足虻
leaf-cutter_bee 切叶蜂
leaf_roller_moth 卷叶蛾
long-horned_grasshopper 螽斯
gnat 蚋
goldbug 金龟子
grasshopper 蚱蜢
grasshopper 蝗虫 
gypsy_moth 舞毒蛾
ground_beetle 步行虫
giant_water_bug 田鳖   
greenbottle_fly 金蝇
grasshopper/katydid 螽斯 
flea 跳蚤 
fire ant 火蚁
firefly 萤火虫
fruit_fly 果蝇
cicada 蝉
culex 库蚊
cricket 蟋蟀 
cockroach 蟑螂
caterpillar 毛毛虫
cecidomyiidae 瘿蚊
chironomidae 摇蚊
bee蜂
bug 臭虫
borer 螟虫
beetle 甲虫
bagworm 蓑虫 
bironella 网蚊
bumblebee 熊蜂
butterfly 蝴蝶
bean_fly 豆杆潜蝇 
backswimmer 仰泳蝽
bell-ring_cricket 金钟儿
