Honolulu      夏威夷檀香山      
Anchorage      阿拉斯加安克雷奇      
Vancouver      温哥华      
San_Francisco      旧金山      
Seattle      西雅图      
Los_Angeles      洛杉矶      
Aklavik      阿克拉维克      
Edmonton      艾德蒙顿      
Phoenix      凤凰城      
Denver      丹佛      
Mexico_City      墨西哥城      
Winnipeg      温尼伯      
Houston      休斯敦      
Minneapolis      明尼亚波利斯      
St._Paul      圣保罗      
New_Orleans      新奥尔良      
Chicago      芝加哥      
Montgomery      蒙哥马利      
Guatemala      危地马拉      
San_Salvador      圣萨尔瓦多      
Tegucigalpa      特古西加尔巴      
Managua      马那瓜      
Havana      哈瓦那      
Indianapolis      印地安纳波利斯      
Atlanta      亚特兰大      
Detroit      底特律      
Washington      DC      华盛顿哥伦比亚特区      
Philadelphia      费城      
Toronto      多伦多      
Ottawa      渥太华      
Nassau      拿骚      
Lima      利马      
Kingston      金斯敦      
Bogota      波哥大      
New_York      纽约      
Montreal      蒙特利尔      
Boston      波士顿      
Santo      Domingo      圣多明各      
La_Paz      拉帕兹      
Caracas      加拉加斯      
San_Juan      圣胡安      
Halifax      哈里法克斯      
Santiago      圣地亚哥      
Asuncion      亚松森      
St\._John\'s      圣约翰斯      
Buenos_Aires      布宜诺斯艾利斯      
Montevideo      蒙特维的亚      
Brasilia      巴西利亚      
Sao_Paulo      圣保罗      
Rio_de_Janeiro      里约热内卢      
Reykjavik      雷克雅未克      
Lisbon      里斯本      
Casablanca      卡萨布兰卡      
Dublin      都柏林      
London      伦敦      
Madrid      马德里      
Barcelona      巴塞罗那      
Paris      巴黎      
Lagos      拉各斯      
Algiers      阿尔及尔      
Brussels      布鲁塞尔      
Amsterdam      阿姆斯特丹      
Geneva      日内瓦      
Zurich      苏黎世      
Frankfurt      法兰克福      
Oslo      奥斯陆      
Copenhagen      哥本哈根      
Rome      罗马      
Berlin      柏林      
Prague      布拉格      
Zagreb      萨格雷布      
Vienna      维也纳      
Stockholm      斯德哥尔摩      
Budapest      布达佩斯      
Belgrade      贝尔格莱德      
Warsaw      华沙      
Cape      Town      开普敦      
Sofia      索非亚      
Athens      雅典城      
Tallinn      塔林      
Helsinki      赫尔辛基      
Bucharest      布加勒斯特      
Minsk      明斯克      
Johannesburg      约翰尼斯堡      
Istanbul      伊斯坦布尔      
Kyiv      基辅      
Odesa      敖德萨      
Harare      哈拉雷      
Cairo      开罗      
Ankara      安卡拉      
Jerusalem      耶路撒冷      
Beirut      贝鲁特      
Amman      安曼      
Khartoum      喀土穆      
Nairobi      内罗毕      
Moscow      莫斯科      
Addis_Ababa      亚的斯亚贝巴      
Baghdad      巴格达      
Aden      亚丁      
Riyadh      利雅得      
Antananarivo      安塔那那利佛      
Kuwait      City      科威特城      
Tehran      德黑兰      
Abu      Dhabi      阿布扎比      
Kabul      喀布尔      
Karachi      卡拉奇      
Tashkent      塔什干      
Islamabad      伊斯兰堡      
Lahore      拉合尔      
Mumbai      孟买      
New_Delhi      新德里      
Kolkata      柯尔喀塔      
Kathmandu      加德满都      
Dhaka      达卡      
Yangon      仰光      
Bangkok      曼谷      
Hanoi      河内      
Jakarta      雅加达      
Kuala_Lumpur      吉隆坡      
Singapore      新加坡      
Hong_Kong      香港      
Perth      珀斯      
Beijing      北京      
Manila      马尼拉      
Shanghai      上海      
Taipei      台北      
Seoul      首尔(汉城)      
Tokyo      东京      
Darwin      达尔文      
Vladivostok      符拉迪沃斯托克(海参崴)      
Brisbane      布里斯班      
Melbourne      墨尔本      
Canberra      堪培拉      
Sydney      悉尼      
Adelaide      亚特雷德      
Kamchatka      堪察加      
Anadyr      阿纳德尔      
Suva      苏瓦      
Wellington      惠灵顿      
Chatham_Island      查塔姆群岛      
Kiritimati      圣诞岛      
